INFO 2024-09-16 21:10:20,540 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-16 21:10:20,541 autoreload Waiting for apps ready_event.
DEBUG 2024-09-16 21:10:20,590 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-16 21:10:20,620 autoreload Watching dir C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django_filters\templates with glob **/*.
DEBUG 2024-09-16 21:10:20,620 autoreload Watching dir E:\one drive\OneDrive\Рабочий стол\Сайты, нарaботки\Skillfactory-Project-master\NewsPortals\NewsPortal\news\templates with glob **/*.
DEBUG 2024-09-16 21:10:20,621 autoreload Watching dir E:\one drive\OneDrive\Рабочий стол\Сайты, нарaботки\Skillfactory-Project-master\NewsPortals\NewsPortal\templates with glob **/*.
DEBUG 2024-09-16 21:10:20,622 autoreload Watching dir C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\templates with glob **/*.
DEBUG 2024-09-16 21:10:20,623 autoreload Watching dir E:\one drive\OneDrive\Рабочий стол\Сайты, нарaботки\Skillfactory-Project-master\NewsPortals\NewsPortal\locale with glob **/*.mo.
DEBUG 2024-09-16 21:10:20,623 autoreload Watching dir C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\modeltranslation\locale with glob **/*.mo.
DEBUG 2024-09-16 21:10:20,624 autoreload Watching dir E:\one drive\OneDrive\Рабочий стол\Сайты, нарaботки\Skillfactory-Project-master\NewsPortals\NewsPortal\news\locale with glob **/*.mo.
DEBUG 2024-09-16 21:10:20,624 autoreload Watching dir E:\one drive\OneDrive\Рабочий стол\Сайты, нарaботки\Skillfactory-Project-master\NewsPortals\NewsPortal\accounts\locale with glob **/*.mo.
DEBUG 2024-09-16 21:10:20,625 autoreload Watching dir C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django_filters\locale with glob **/*.mo.
DEBUG 2024-09-16 21:10:20,625 autoreload Watching dir C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\locale with glob **/*.mo.
DEBUG 2024-09-16 21:10:20,626 autoreload Watching dir C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\account\locale with glob **/*.mo.
DEBUG 2024-09-16 21:10:20,626 autoreload Watching dir C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\socialaccount\locale with glob **/*.mo.
DEBUG 2024-09-16 21:10:20,627 autoreload Watching dir C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\socialaccount\providers\yandex\locale with glob **/*.mo.
DEBUG 2024-09-16 21:10:20,627 autoreload Watching dir C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django_apscheduler\locale with glob **/*.mo.
DEBUG 2024-09-16 21:10:20,628 autoreload Watching dir E:\one drive\OneDrive\Рабочий стол\Сайты, нарaботки\Skillfactory-Project-master\NewsPortals\NewsPortal\locale with glob **/*.mo.
DEBUG 2024-09-16 21:10:20,991 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\cffi\lock.py first seen with mtime 1713561734.9298122
DEBUG 2024-09-16 21:10:20,992 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\jinja2\filters.py first seen with mtime 1713726263.963031
DEBUG 2024-09-16 21:10:20,992 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django_filters\widgets.py first seen with mtime 1724344058.2365973
DEBUG 2024-09-16 21:10:20,993 autoreload File C:\Program Files\Python312\Lib\zipfile\_path\__init__.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:20,993 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\coreapi\codecs\jsondata.py first seen with mtime 1724015980.3859625
DEBUG 2024-09-16 21:10:20,994 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\socialaccount\providers\yandex\views.py first seen with mtime 1713561736.6000652
DEBUG 2024-09-16 21:10:20,995 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\kombu\messaging.py first seen with mtime 1713553050.9374547
DEBUG 2024-09-16 21:10:20,995 autoreload File C:\Program Files\Python312\Lib\html\parser.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:20,996 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\socialaccount\providers\base\provider.py first seen with mtime 1713561736.2491622
DEBUG 2024-09-16 21:10:20,996 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\coreschema\encodings\html.py first seen with mtime 1724015980.177455
DEBUG 2024-09-16 21:10:20,997 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\sqlparse\filters\reindent.py first seen with mtime 1726302355.7451806
DEBUG 2024-09-16 21:10:20,998 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\amqp\protocol.py first seen with mtime 1713553050.7717052
DEBUG 2024-09-16 21:10:20,998 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\colorama\win32.py first seen with mtime 1712606802.9031203
DEBUG 2024-09-16 21:10:20,999 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1726302362.2913492
DEBUG 2024-09-16 21:10:20,999 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\template\autoreload.py first seen with mtime 1726302362.5197632
DEBUG 2024-09-16 21:10:21,000 autoreload File C:\Program Files\Python312\Lib\gzip.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,000 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\celery\app\utils.py first seen with mtime 1713553051.7374094
DEBUG 2024-09-16 21:10:21,001 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\amqp\__init__.py first seen with mtime 1713553050.766636
DEBUG 2024-09-16 21:10:21,002 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\yaml\representer.py first seen with mtime 1712606802.1567278
DEBUG 2024-09-16 21:10:21,002 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\template\backends\base.py first seen with mtime 1726302362.5294807
DEBUG 2024-09-16 21:10:21,003 autoreload File C:\Program Files\Python312\DLLs\pyexpat.pyd first seen with mtime 1707246654.0
DEBUG 2024-09-16 21:10:21,004 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\celery\utils\time.py first seen with mtime 1713553051.8072224
DEBUG 2024-09-16 21:10:21,004 autoreload File C:\Program Files\Python312\Lib\importlib\resources\_itertools.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,005 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\urllib3\util\__init__.py first seen with mtime 1726302354.3493218
DEBUG 2024-09-16 21:10:21,006 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\urllib3\__init__.py first seen with mtime 1726302354.3214016
DEBUG 2024-09-16 21:10:21,006 autoreload File C:\Program Files\Python312\Lib\glob.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,007 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\db\backends\base\base.py first seen with mtime 1726302362.356663
DEBUG 2024-09-16 21:10:21,008 autoreload File C:\Program Files\Python312\Lib\email\encoders.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,008 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django_apscheduler\util.py first seen with mtime 1726510079.7871466
DEBUG 2024-09-16 21:10:21,009 autoreload File C:\Program Files\Python312\Lib\string.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,009 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\yaml\cyaml.py first seen with mtime 1712606802.1509013
DEBUG 2024-09-16 21:10:21,010 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\pkg_resources\_vendor\more_itertools\recipes.py first seen with mtime 1713561673.6272864
DEBUG 2024-09-16 21:10:21,010 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\core\servers\__init__.py first seen with mtime 1726302362.3486724
DEBUG 2024-09-16 21:10:21,011 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\db\utils.py first seen with mtime 1726302362.352222
DEBUG 2024-09-16 21:10:21,011 autoreload File C:\Program Files\Python312\Lib\difflib.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,012 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\dateutil\tz\__init__.py first seen with mtime 1713553050.4467456
DEBUG 2024-09-16 21:10:21,013 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\templatetags\l10n.py first seen with mtime 1726302362.5378013
DEBUG 2024-09-16 21:10:21,013 autoreload File E:\one drive\OneDrive\Рабочий стол\Сайты, нарaботки\Skillfactory-Project-master\NewsPortals\NewsPortal\accounts\apps.py first seen with mtime 1709233838.0
DEBUG 2024-09-16 21:10:21,014 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\core\management\commands\__init__.py first seen with mtime 1726302362.3195176
DEBUG 2024-09-16 21:10:21,014 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\kombu\entity.py first seen with mtime 1713553050.932419
DEBUG 2024-09-16 21:10:21,015 autoreload File C:\Program Files\Python312\Lib\getpass.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,015 autoreload File C:\Program Files\Python312\Lib\sysconfig.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,016 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\urllib3\contrib\__init__.py first seen with mtime 1726302354.338846
DEBUG 2024-09-16 21:10:21,016 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\coreapi\codecs\text.py first seen with mtime 1724015980.38755
DEBUG 2024-09-16 21:10:21,017 autoreload File C:\Program Files\Python312\Lib\queue.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,017 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\celery\app\autoretry.py first seen with mtime 1713553051.7294312
DEBUG 2024-09-16 21:10:21,018 autoreload File E:\one drive\OneDrive\Рабочий стол\Сайты, нарaботки\Skillfactory-Project-master\NewsPortals\NewsPortal\accounts\admin.py first seen with mtime 1709233838.0
DEBUG 2024-09-16 21:10:21,018 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\colorama\ansi.py first seen with mtime 1712606802.9004707
DEBUG 2024-09-16 21:10:21,018 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\modeltranslation\fields.py first seen with mtime 1726510031.8091078
DEBUG 2024-09-16 21:10:21,019 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\contrib\auth\checks.py first seen with mtime 1726302359.9390903
DEBUG 2024-09-16 21:10:21,020 autoreload File C:\Program Files\Python312\Lib\operator.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,021 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\core\signing.py first seen with mtime 1726302362.2776117
DEBUG 2024-09-16 21:10:21,021 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\celery\loaders\base.py first seen with mtime 1713553051.7912652
DEBUG 2024-09-16 21:10:21,022 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\views\decorators\__init__.py first seen with mtime 1726302362.6069963
DEBUG 2024-09-16 21:10:21,023 autoreload File C:\Program Files\Python312\Lib\argparse.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,023 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\socialaccount\providers\yandex\provider.py first seen with mtime 1713561736.598389
DEBUG 2024-09-16 21:10:21,024 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\db\models\functions\window.py first seen with mtime 1726302362.43261
DEBUG 2024-09-16 21:10:21,024 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\cffi\error.py first seen with mtime 1713561734.9284644
DEBUG 2024-09-16 21:10:21,025 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\utils\cache.py first seen with mtime 1726302362.5552206
DEBUG 2024-09-16 21:10:21,025 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1726302362.3908896
DEBUG 2024-09-16 21:10:21,025 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\forms\widgets.py first seen with mtime 1726302362.4495554
DEBUG 2024-09-16 21:10:21,026 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\urllib3\poolmanager.py first seen with mtime 1726302354.3358471
DEBUG 2024-09-16 21:10:21,026 autoreload File E:\one drive\OneDrive\Рабочий стол\Сайты, нарaботки\Skillfactory-Project-master\NewsPortals\NewsPortal\news\admin.py first seen with mtime 1709233838.0
DEBUG 2024-09-16 21:10:21,027 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\forms\renderers.py first seen with mtime 1726302362.4475548
DEBUG 2024-09-16 21:10:21,027 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\forms\utils.py first seen with mtime 1726302362.448555
DEBUG 2024-09-16 21:10:21,028 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\celery\utils\__init__.py first seen with mtime 1713553051.795255
DEBUG 2024-09-16 21:10:21,028 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\utils\module_loading.py first seen with mtime 1726302362.5810702
DEBUG 2024-09-16 21:10:21,029 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\asgiref\__init__.py first seen with mtime 1726302356.5136442
DEBUG 2024-09-16 21:10:21,029 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\urllib3\exceptions.py first seen with mtime 1726302354.3303995
DEBUG 2024-09-16 21:10:21,029 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\templatetags\tz.py first seen with mtime 1726302362.5387638
DEBUG 2024-09-16 21:10:21,030 autoreload File C:\Program Files\Python312\Lib\secrets.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,031 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\urllib3\util\wait.py first seen with mtime 1726302354.3600237
DEBUG 2024-09-16 21:10:21,031 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\socialaccount\views.py first seen with mtime 1713561736.2095332
DEBUG 2024-09-16 21:10:21,032 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\celery\utils\nodenames.py first seen with mtime 1713553051.8022358
DEBUG 2024-09-16 21:10:21,032 autoreload File C:\Program Files\Python312\Lib\asyncio\runners.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,033 autoreload File C:\Program Files\Python312\Lib\asyncio\transports.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,034 autoreload File C:\Program Files\Python312\Lib\asyncio\__init__.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,034 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\urllib3\util\request.py first seen with mtime 1726302354.3518465
DEBUG 2024-09-16 21:10:21,035 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\coreapi\codecs\base.py first seen with mtime 1724015980.3838544
DEBUG 2024-09-16 21:10:21,036 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\db\models\fields\generated.py first seen with mtime 1726302362.4210303
DEBUG 2024-09-16 21:10:21,037 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\urllib3\util\retry.py first seen with mtime 1726302354.3538458
DEBUG 2024-09-16 21:10:21,038 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\socialaccount\providers\oauth2\views.py first seen with mtime 1713561736.4504173
DEBUG 2024-09-16 21:10:21,039 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\db\backends\signals.py first seen with mtime 1726302362.354482
DEBUG 2024-09-16 21:10:21,040 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\apscheduler\__init__.py first seen with mtime 1726510079.3247945
DEBUG 2024-09-16 21:10:21,040 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\contrib\auth\base_user.py first seen with mtime 1726302359.9382708
DEBUG 2024-09-16 21:10:21,041 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1726302359.694494
DEBUG 2024-09-16 21:10:21,042 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\dateutil\tz\_common.py first seen with mtime 1713553050.447743
DEBUG 2024-09-16 21:10:21,043 autoreload File C:\Program Files\Python312\Lib\dataclasses.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,044 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\socialaccount\__init__.py first seen with mtime 1713561736.2022724
DEBUG 2024-09-16 21:10:21,045 autoreload File C:\Program Files\Python312\Lib\encodings\cp1251.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,046 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\account\templatetags\account.py first seen with mtime 1713561736.0936732
DEBUG 2024-09-16 21:10:21,047 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\db\models\functions\comparison.py first seen with mtime 1726302362.4286537
DEBUG 2024-09-16 21:10:21,048 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\urllib3\connection.py first seen with mtime 1726302354.3274155
DEBUG 2024-09-16 21:10:21,051 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\amqp\abstract_channel.py first seen with mtime 1713553050.766636
DEBUG 2024-09-16 21:10:21,052 autoreload File C:\Program Files\Python312\Lib\typing.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,052 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\allauth\socialaccount\providers\oauth2\urls.py first seen with mtime 1713561736.4493744
DEBUG 2024-09-16 21:10:21,053 autoreload File C:\Program Files\Python312\Lib\re\_compiler.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,054 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\sqlparse\filters\__init__.py first seen with mtime 1726302355.741713
DEBUG 2024-09-16 21:10:21,054 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\pytz\lazy.py first seen with mtime 1724016238.5291758
DEBUG 2024-09-16 21:10:21,055 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1726302362.5804167
DEBUG 2024-09-16 21:10:21,056 autoreload File C:\Program Files\Python312\Lib\collections\__init__.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,057 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\yaml\error.py first seen with mtime 1712606802.1528563
DEBUG 2024-09-16 21:10:21,057 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\greenlet\_greenlet.cp312-win_amd64.pyd first seen with mtime 1713808913.57241
DEBUG 2024-09-16 21:10:21,058 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\template\engine.py first seen with mtime 1726302362.5237634
DEBUG 2024-09-16 21:10:21,059 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\kombu\pools.py first seen with mtime 1713553050.9394
DEBUG 2024-09-16 21:10:21,059 autoreload File C:\Program Files\Python312\Lib\json\encoder.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,060 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\markupsafe\__init__.py first seen with mtime 1713726262.1684103
DEBUG 2024-09-16 21:10:21,061 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\django\forms\forms.py first seen with mtime 1726302362.4450383
DEBUG 2024-09-16 21:10:21,062 autoreload File C:\Program Files\Python312\Lib\hashlib.py first seen with mtime 1707246618.0
DEBUG 2024-09-16 21:10:21,062 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\kombu\utils\json.py first seen with mtime 1713553050.9772985
DEBUG 2024-09-16 21:10:21,063 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\simplejson\scanner.py first seen with mtime 1724015983.4925218
DEBUG 2024-09-16 21:10:21,064 autoreload File C:\Users\Acer NITRO 5\AppData\Roaming\Python\Python312\site-packages\kombu\utils\compat.py first seen with mtime 1713553050.9733088
